from_node,to_node,edge_tt,distance,source_edge_id,edge_var
12.0,13.0,9.65,100.22,-100541440#2,0.0
14.0,15.0,11.25,146.36,-100541440#3,0.0
28.0,29.0,124.2,985.91,-100832885,0.0
32.0,33.0,10.54,85.85,-10098785#3,0.0
34.0,35.0,11.53,92.28,-10098785#4,0.0
36.0,37.0,21.42,122.3,-10098785#9,0.0
52.0,53.0,13.1,94.73,-101290094#0,0.0
70.0,71.0,8.27,108.81,-1013117571,0.0
104.0,105.0,180.86,1508.12,-102486231#0,0.0
168.0,169.0,16.33,216.12,-102945288#2,0.0
170.0,171.0,18.98,257.92,-102945288#3,0.0
176.0,177.0,5.69,61.87,-102984483,0.0
188.0,189.0,31.77,261.11,-103012045,0.0
228.0,229.0,13.35,105.1,-103136604#1,0.0
230.0,231.0,5.79,43.03,-103136604#2,0.0
244.0,245.0,9.27,48.79,-103141583#0,0.0
246.0,247.0,15.64,128.27,-103141583#1,0.0
250.0,251.0,16.83,124.7,-103141585#0,0.0
252.0,253.0,16.5,129.62,-103141585#1,0.0
254.0,255.0,6.01,46.71,-103141585#2,0.0
256.0,257.0,25.14,205.56,-103141585#3,0.0
258.0,259.0,33.39,225.51,-103141585#4,0.0
260.0,261.0,27.11,161.16,-103141587#0,0.0
262.0,263.0,33.71,254.73,-103141587#1,0.0
284.0,285.0,19.35,142.03,-103295134#1,0.0
586.0,587.0,13.08,96.52,-103844041#2,0.0
658.0,659.0,4.95,41.57,-104819356,0.0
682.0,683.0,11.44,118.63,-105352753,0.0
690.0,691.0,22.5,164.6,-10559163#0,0.0
692.0,693.0,6.44,52.41,-10559163#1,0.0
694.0,695.0,6.79,52.57,-10559163#2,0.0
696.0,697.0,5.51,40.16,-10559163#3,0.0
698.0,699.0,11.09,61.2,-10559163#4,0.0
702.0,703.0,17.24,139.36,-10559163#6,0.0
710.0,711.0,9.14,101.21,-10575630#1,0.0
732.0,733.0,2.2,8.09,-10597569#1,0.0
734.0,735.0,12.89,127.56,-10598760#0,0.0
792.0,793.0,11.3,35.39,-106277650#2,0.0
794.0,795.0,15.32,164.22,-106277831#0,0.0
810.0,811.0,3.84,27.59,-106471823,0.0
816.0,817.0,0.97,6.9,-106597745,0.0
824.0,825.0,12.33,104.54,-106796067,0.0
830.0,831.0,51.98,719.18,-106838214,0.0
872.0,873.0,20.83,148.55,-10741525#0,0.0
874.0,875.0,30.66,220.58,-10741525#1,0.0
916.0,917.0,8.07,65.51,-10749447,0.0
934.0,935.0,20.59,171.6,-107541820#1,0.0
938.0,939.0,9.25,68.48,-107541821#1,0.0
940.0,941.0,13.37,67.63,-10755765#2,0.0
942.0,943.0,15.8,199.81,-10755765#3,0.0
984.0,985.0,56.09,360.42,-10774833#2,0.0
986.0,987.0,6.44,50.77,-10774938,0.0
1006.0,1007.0,40.43,306.01,-10775108#1,0.0
1016.0,1017.0,28.67,332.63,-10775114#4,0.0
1060.0,1061.0,10.08,81.72,-10778139#0,0.0
1076.0,1077.0,23.55,132.84,-10780543#1,0.0
1092.0,1093.0,10.89,91.11,-108031933#0,0.0
1094.0,1095.0,22.71,197.13,-108037688,0.0
1096.0,1097.0,28.19,385.8,-108037692,0.0
1102.0,1103.0,5.82,72.89,-10855364#0,0.0
1132.0,1133.0,6.49,81.52,-108776738,0.0
1140.0,1141.0,2.5,33.75,-108886196#1,0.0
1236.0,1237.0,2.38,25.06,-109648595,0.0
1346.0,1347.0,23.17,282.93,-110008909#2,0.0
1590.0,1591.0,16.07,151.37,-110149634#2,0.0
1710.0,1711.0,13.36,108.07,-110450333,0.0
1712.0,1713.0,9.0,35.19,-110450334#2,0.0
1758.0,1759.0,42.52,318.02,-11092480#0,0.0
1760.0,1761.0,23.57,168.35,-11092480#1,0.0
1788.0,1789.0,1.33,17.54,-11093162#1,0.0
1790.0,1791.0,1.13,13.4,-11093162#2,0.0
1802.0,1803.0,32.66,270.99,-11093367,0.0
1804.0,1805.0,6.82,46.81,-11093467#0,0.0
1818.0,1819.0,28.38,204.98,-11103963,0.0
1832.0,1833.0,17.19,34.34,-111251382#2,0.0
1862.0,1863.0,16.76,211.46,-111288183#0,0.0
1864.0,1865.0,18.02,251.72,-111288183#1,0.0
1978.0,1979.0,14.33,89.49,-112041021#0,0.0
1994.0,1995.0,8.61,109.09,-112408881#0,0.0
1996.0,1997.0,5.17,72.02,-112408881#1,0.0
1998.0,1999.0,12.43,171.29,-112408881#2,0.0
2004.0,2005.0,6.21,84.12,-112408882#10,0.0
2006.0,2007.0,8.07,101.44,-112408882#11,0.0
2008.0,2009.0,11.7,141.72,-112408882#2,0.0
2010.0,2011.0,16.61,226.58,-112408882#4,0.0
2012.0,2013.0,16.42,200.71,-112408882#6,0.0
2014.0,2015.0,11.58,121.13,-112408882#8,0.0
2016.0,2017.0,11.08,149.44,-112408882#9,0.0
2024.0,2025.0,12.43,90.83,-112441857#0,0.0
2026.0,2027.0,3.82,44.49,-112441857#2,0.0
2028.0,2029.0,9.93,72.27,-112442378#0,0.0
2030.0,2031.0,14.9,89.27,-112442378#5,0.0
2032.0,2033.0,11.61,87.92,-112442432,0.0
2042.0,2043.0,19.08,158.81,-11273359#1,0.0
2048.0,2049.0,5.26,61.21,-11273911#0,0.0
2050.0,2051.0,11.12,157.26,-11273911#2,0.0
2086.0,2087.0,6.23,81.49,-1132163645#0,0.0
2088.0,2089.0,6.14,76.43,-1132163645#1,0.0
2090.0,2091.0,6.91,71.55,-1132163645#7,0.0
2096.0,2097.0,15.52,160.48,-11342758#2,0.0
2262.0,2263.0,10.26,90.1,-114684413#1,0.0
2264.0,2265.0,9.3,80.61,-114684413#2,0.0
2268.0,2269.0,6.36,51.38,-11483007#2,0.0
2328.0,2329.0,13.88,102.82,-11644338#0,0.0
2346.0,2347.0,27.9,177.26,-116703661#2,0.0
2354.0,2355.0,21.32,158.33,-117455644#0,0.0
2356.0,2357.0,30.93,215.63,-117455644#1,0.0
2378.0,2379.0,34.55,297.71,-118336899,0.0
2398.0,2399.0,13.93,124.91,-118336909#0,0.0
2400.0,2401.0,7.45,63.76,-118336909#1,0.0
2402.0,2403.0,5.87,52.68,-118336915,0.0
2426.0,2427.0,5.78,43.99,-118745156,0.0
2428.0,2429.0,11.33,85.6,-118745159#0,0.0
2430.0,2431.0,20.13,122.24,-118745161#0,0.0
2438.0,2439.0,9.17,75.87,-11897422,0.0
2442.0,2443.0,1.15,11.41,-1190781965,0.0
2456.0,2457.0,33.88,200.15,-119201840#2,0.0
2530.0,2531.0,7.81,95.36,-120311789#0,0.0
2536.0,2537.0,34.12,144.33,-120633878#1,0.0
2542.0,2543.0,5.85,63.38,-120860918#0,0.0
2546.0,2547.0,28.87,215.19,-120948266,0.0
2582.0,2583.0,13.56,103.54,-122121575,0.0
2594.0,2595.0,13.73,164.92,-122634198,0.0
2620.0,2621.0,8.91,86.73,-123033990#2,0.0
2622.0,2623.0,9.59,82.98,-123046107#1,0.0
2652.0,2653.0,143.83,2494.06,-123104620,0.0
2744.0,2745.0,17.1,110.27,-123956282#1,0.0
2754.0,2755.0,12.66,95.55,-123959488,0.0
2810.0,2811.0,23.15,145.27,-124810764#0,0.0
2818.0,2819.0,19.87,138.58,-12520036,0.0
2822.0,2823.0,13.82,178.28,-125693712,0.0
2864.0,2865.0,26.94,263.33,-126352571#0,0.0
2866.0,2867.0,17.62,165.12,-126352571#1,0.0
2870.0,2871.0,54.43,429.01,-126396017,0.0
2880.0,2881.0,14.77,99.76,-126559272,0.0
2882.0,2883.0,20.36,234.63,-12678107#2,0.0
2886.0,2887.0,16.14,122.64,-126815807,0.0
2908.0,2909.0,21.2,153.94,-127054759#4,0.0
2956.0,2957.0,22.59,91.23,-127621245#2,0.0
2960.0,2961.0,18.73,178.05,-12770219,0.0
2962.0,2963.0,8.09,46.28,-12770225,0.0
3000.0,3001.0,21.02,186.5,-128266208#2,0.0
3016.0,3017.0,34.71,269.93,-128437136,0.0
3056.0,3057.0,18.41,188.7,-129118368,0.0
3084.0,3085.0,12.76,112.18,-129413465#1,0.0
3094.0,3095.0,21.27,156.34,-129953984,0.0
3098.0,3099.0,27.9,230.63,-129953985#1,0.0
3186.0,3187.0,18.09,154.18,-132105451#0,0.0
3188.0,3189.0,10.64,90.36,-132105451#1,0.0
3212.0,3213.0,27.43,351.42,-13252409#1,0.0
3396.0,3397.0,14.68,132.15,-133988497,0.0
3404.0,3405.0,19.5,137.64,-133988508#1,0.0
3416.0,3417.0,15.94,109.1,-134443454#0,0.0
3460.0,3461.0,84.25,1165.43,-135777010,0.0
3484.0,3485.0,20.35,165.32,-135777027#0,0.0
3486.0,3487.0,27.31,215.19,-135777027#2,0.0
3488.0,3489.0,5.8,44.77,-135777027#3,0.0
3536.0,3537.0,25.07,317.94,-136699504,0.0
3538.0,3539.0,6.67,65.06,-136814134#2,0.0
3548.0,3549.0,1.16,5.2,-13701491,0.0
3550.0,3551.0,65.84,460.2,-137071140#0,0.0
3554.0,3555.0,32.24,241.24,-137071141#1,0.0
3556.0,3557.0,33.27,247.34,-137071141#2,0.0
3566.0,3567.0,7.97,169.61,-137071143#0,0.0
3568.0,3569.0,19.84,323.59,-137071143#1,0.0
3570.0,3571.0,66.06,466.51,-137071144,0.0
3586.0,3587.0,4.83,60.24,-137118016,0.0
3608.0,3609.0,25.21,357.77,-137499667#0,0.0
3610.0,3611.0,1.71,20.21,-137499667#1,0.0
3612.0,3613.0,13.86,63.1,-137534613#2,0.0
3622.0,3623.0,1.61,13.44,-137623807#0,0.0
3640.0,3641.0,5.15,56.25,-137700044,0.0
3648.0,3649.0,34.61,164.78,-137720668,0.0
3650.0,3651.0,19.36,84.64,-137720672#0,0.0
3658.0,3659.0,43.14,283.99,-13782288,0.0
3694.0,3695.0,45.3,307.88,-138147741#0,0.0
3700.0,3701.0,28.68,235.64,-138166311#0,0.0
3712.0,3713.0,16.63,161.26,-138431358#1,0.0
3714.0,3715.0,5.71,76.52,-138431358#3,0.0
3720.0,3721.0,4.61,52.67,-138515677#0,0.0
