from_node,to_node,edge_id,edge_tt,edge_var
0,1,--153692837#1,14.0,6.575609756097561
2,3,-101238042,7.399999999999999,1.5714285714285712
4,5,-101731827#0,4.0,0.9978354978354977
6,7,-101731827#1,4.399999999999999,1.41025641025641
8,9,-101731827#2,5.9,2.0
10,11,-101731858,10.549999999999999,2.177777777777778
12,13,-102461801,27.7,2.6666666666666665
14,15,-102818928#0,115.99999999999977,2824.304854282929
16,17,-102818928#1,19.999999999999886,1964.1660023031268
18,19,-103053747,10.399999999999999,1.9047619047619049
20,21,-103053774#0,5.0,0.9769820971867008
22,23,-103053774#1,4.0,0.6126530612244898
24,25,-103053774#2,4.100000000000001,1.2280701754385965
26,27,-103053774#3,9.8,5.7
28,29,-103053774#4,3.099999999999998,0.6725146198830408
30,31,-103053774#5,1.9,0.33333333333333337
32,33,-103053774#6,2.6499999999999995,0.5535714285714286
34,35,-103053774#7,3.549999999999999,0.8999999999999999
36,37,-103053803,12.0,8.333333333333334
38,39,-103396186,7.0,4.4499999999999975
40,41,-103512657,27.049999999999994,52.33333333333334
42,43,-103512667#0,19.0,35.22172246183337
44,45,-103512667#2,10.0,6.161372624059185
46,47,-103512672,69.69999999999997,260.9809523809524
50,51,-103671254,7.699999999999999,2.8095238095238098
52,53,-103671264,4.0,0.30630630630630634
54,55,-103671267#0,25.0,6.1944444444444455
56,57,-103671267#1,4.6499999999999995,0.6964285714285714
60,61,-103671267#11,3.0,0.47435897435897423
62,63,-103671267#12,1.0,0.0
64,65,-103671267#13,2.8,0.7999999999999999
66,67,-103671267#14,30.799999999999997,20.9047619047619
68,69,-103671267#2,3.0,0.9047619047619047
70,71,-103671267#3,3.8499999999999996,0.25000000000000006
72,73,-103671267#4,3.0,0.0
74,75,-103671267#5,4.0,0.0
76,77,-103671267#6,3.0,0.21818181818181817
78,79,-103671267#7,3.75,1.7666666666666664
80,81,-103671267#9,3.5,0.2909090909090909
82,83,-103671270,127.6,3630.0457657657666
84,85,-103678452,1.9,0.33333333333333337
86,87,-103678458#0,4.0,0.0
88,89,-103678458#1,3.8,2.3333333333333335
90,91,-103686129#1,94.0,60.749999999999986
92,93,-103687101,8.0,7.960000000000001
94,95,-103718186,198.04999999999995,8453.48345238095
